emoji,sentiment_score,en_emoji,vi_emoji,raw_sample
🤪,0.0,:zany_face:,lầy_lội,🤪
🆕,0.0,:NEW_button:,mới_toanh,🆕
👕,0.0,:t-shirt:,áo_thun,👕
💕,0.8,:two_hearts:,trái_tim_đôi,💕
🤣,0.8,:rolling_on_the_floor_laughing:,cười_lăn_lộn,🤣
🖐,0.0,:hand_with_fingers_splayed:,xòe_bàn_tay,🖐
👵,0.0,:old_woman:,bà_lão,👵
🟠,0.0,:orange_circle:,chấm_cam,🟠
🥲,0.8,:smiling_face_with_tear:,cười_ra_nước_mắt,🥲
🙃,0.0,:upside-down_face:,lộn_ngược,🙃
🌊,0.0,:water_wave:,sóng_biển,🌊
🪥,0.0,:toothbrush:,bàn_chải_đánh_răng,🪥
😱,0.0,:face_screaming_in_fear:,hét_sợ_hãi,😱
🔎,0.0,:magnifying_glass_tilted_right:,soi_kỹ,🔎
🏠,0.0,:house:,ngôi_nhà,🏠
🙁,-0.8,:slightly_frowning_face:,hơi_buồn,🙁
😋,0.0,:face_savoring_food:,ngon_miệng,😋
🍌,0.0,:banana:,chuối,🍌
🩶,0.8,:grey_heart:,trái_tim_xám,🩶
🏪,0.0,:convenience_store:,cửa_hàng_tiện_lợi,🏪
🇻🇳,0.0,:Vietnam:,cờ_việt_nam,🇻🇳
🤬,0.0,:face_with_symbols_on_mouth:,chửi_thề,🤬
☹,0.0,:frowning_face:,cau_mày,☹️
❣,0.8,:heart_exclamation:,trái_tim_cảm_thán,❣️
💵,0.0,:dollar_banknote:,tiền_đô,💵
📽,0.0,:film_projector:,máy_chiếu,📽
🖤,0.8,:black_heart:,trái_tim_đen,🖤
🎁,0.0,:wrapped_gift:,món_quà,🎁
😜,0.0,:winking_face_with_tongue:,tinh_nghịch,😜
🌴,0.0,:palm_tree:,cây_dừa,🌴
⚡,0.0,:high_voltage:,điện_giật,⚡
💨,0.0,:dashing_away:,chạy_biến,💨
📊,0.0,:bar_chart:,biểu_đồ,📊
➡,0.0,:right_arrow:,mũi_tên_phải,➡
😞,-0.8,:disappointed_face:,thất_vọng,😞
🎗,0.0,:reminder_ribbon:,ruy_băng,🎗
😔,0.0,:pensive_face:,trầm_ngâm,😔
🏘,0.0,:houses:,khu_dân_cư,🏘️
😿,-0.8,:crying_cat:,mèo_khóc,😿
🤍,0.8,:white_heart:,trái_tim_trắng,🤍
⌚,0.0,:watch:,đồng_hồ,⌚
🇬🇧,0.0,:United_Kingdom:,cờ_anh,🇬🇧
🌾,0.0,:sheaf_of_rice:,bó_lúa,🌾
🤎,0.8,:brown_heart:,trái_tim_nâu,🤎
🪪,0.0,:identification_card:,căn_cước,🪪
📸,0.0,:camera_with_flash:,chụp_ảnh,📸
💚,0.8,:green_heart:,trái_tim_xanh_lá,💚
🫤,0.0,:face_with_diagonal_mouth:,ngại_ngùng,🫤
😪,-0.8,:sleepy_face:,buồn_ngủ,😪
💼,0.0,:briefcase:,công_việc,💼
🅾,0.0,:O_button_(blood_type):,nhóm_máu_o,🅾
😝,0.0,:squinting_face_with_tongue:,lè_lưỡi_nheo_mắt,😝
🏃,0.0,:person_running:,chạy_bộ,🏃
💁,0.0,:person_tipping_hand:,chảnh,💁
🎄,0.0,:Christmas_tree:,cây_thông_noel,🎄
🥮,0.0,:moon_cake:,bánh_trung_thu,🥮
🔊,0.0,:speaker_high_volume:,loa_to,🔊
📢,0.0,:loudspeaker:,loa_thông_báo,📢
😮,0.0,:face_with_open_mouth:,mặt_ngạc_nhiên,😮
🏴,0.0,:black_flag:,cờ_đen,🏴
😵,0.0,:dizzy_face:,mặt_choáng_váng,😵
💫,0.0,:dizzy:,chóng_mặt,💫
🦺,0.0,:safety_vest:,áo_phản_quang,🦺
👩,0.0,:woman:,phụ_nữ,👩
🩹,0.0,:adhesive_bandage:,băng_gạc,🩹
👨,0.0,:man:,đàn_ông,👨
⭐,0.0,:star:,ngôi_sao,⭐
☆,0.0,:white_star:,ngôi_sao_trắng,☆
